Time (s),Motor Angle,Force (g),Torque (Nm)
0.03112483024597168,-0.01,0.0,0.0
0.051148414611816406,-0.01,0.0,-0.01171875
0.0708775520324707,-0.01,0.0,-0.0146484375
0.08958077430725098,0.01,0.0,-0.005859375
0.10905170440673828,0.02,0.0,0.01171875
0.12204098701477051,0.03,0.0,0.0
0.13964319229125977,0.06,0.0,-0.0146484375
0.15540552139282227,0.09,0.0,-0.0146484375
0.18637466430664062,0.12,0.0,-0.005859375
0.2054896354675293,0.12,0.0,0.0029296875
0.22351956367492676,0.07,0.0,-0.005859375
0.2425689697265625,0.03,0.0,-0.0029296875
0.2550637722015381,0.0,0.0,0.0029296875
0.2719850540161133,-0.01,0.0,0.0146484375
0.31999754905700684,0.01,0.0,-0.0146484375
0.37096261978149414,0.02,0.0,-0.0029296875
0.42478489875793457,0.0,0.0,0.005859375
0.47101306915283203,0.03,0.0,0.0
0.5244543552398682,-0.1,0.0,0.0205078125
0.5752608776092529,-0.37,0.0,0.0234375
0.6201727390289307,-0.53,0.0,0.0498046875
0.6763710975646973,-0.75,0.0,0.0615234375
0.7202520370483398,-0.9,0.0,0.076171875
0.7748165130615234,-0.93,0.0,0.0908203125
0.8276805877685547,-0.85,0.0,0.099609375
0.878880500793457,-0.9,0.0,0.1171875
0.9194931983947754,-1.11,0.0,0.140625
0.9790284633636475,-1.49,0.0,0.1669921875
1.0188839435577393,-1.74,0.0,0.193359375
1.0699615478515625,-1.75,0.0,0.205078125
1.125295877456665,-1.6500000000000001,0.0,0.234375
1.1786835193634033,-1.56,0.0,0.2490234375
1.2179176807403564,-1.62,0.0,0.2724609375
1.2754032611846924,-1.79,0.0,0.310546875
1.3174307346343994,-1.9000000000000001,0.0,0.3310546875
1.3718187808990479,-1.58,0.0,0.3427734375
1.4179198741912842,-1.24,0.0,0.328125
1.466325044631958,-0.79,0.0,0.322265625
1.5165176391601562,-0.54,0.0,0.322265625
1.5667297840118408,-0.41000000000000003,0.0,0.3310546875
1.6329174041748047,-0.34,0.0,0.322265625
1.681746006011963,-0.23,0.0,0.3310546875
1.733856439590454,-0.07,0.0,0.3251953125
1.7861576080322266,0.03,0.0,0.3251953125
1.8357391357421875,0.07,0.0,0.3251953125
1.8843188285827637,0.07,0.0,0.3193359375
1.93894624710083,0.07,0.0,0.3193359375
1.9833612442016602,0.06,0.0,0.31640625
2.035874843597412,0.05,0.0,0.3193359375
2.08298921585083,0.05,0.0,0.31640625
2.1327083110809326,0.05,0.0,0.3251953125
2.18704891204834,0.05,0.0,0.3193359375
2.2324557304382324,0.04,0.0,0.31640625
2.292886734008789,0.03,0.0,0.3076171875
2.3322863578796387,0.02,0.0,0.3134765625
